"";"A0";"L01";"L02";"L05";"L06";"L09";"L10";"L13";"L14";"tot";"pub";"bxa";"ppi";"pcd";"nota"
"ordem_1a";24;6;7;3;5;0;3;0;2;50;26;16;17;5;779,456
"ordem_2a";24;6;8;3;5;0;3;0;1;50;26;17;17;4;780,9792
"ordem_3a";24;6;7;3;5;1;3;0;1;50;26;17;16;5;779,772
"ordem_4a";24;6;8;3;5;0;3;0;1;50;26;17;17;4;780,9792
"ordem_5a";24;6;7;3;5;1;3;0;1;50;26;17;16;5;779,772
"ordem_6a";24;6;8;3;5;0;3;0;1;50;26;17;17;4;780,9792
"ordem_7a";24;6;7;3;5;0;3;0;2;50;26;16;17;5;779,456
"ordem_8a";24;6;8;3;5;0;3;0;1;50;26;17;17;4;780,9792
"ordem_9a";24;6;7;3;5;1;3;0;1;50;26;17;16;5;779,772
"ordem_10a";24;6;8;3;5;0;3;0;1;50;26;17;17;4;780,9792
"ordem_11a";24;6;7;3;5;1;3;0;1;50;26;17;16;5;779,772
"ordem_12a";24;6;8;3;5;0;3;0;1;50;26;17;17;4;780,9792
"ordem_1b";25;5;6;4;6;0;2;1;1;50;25;13;15;4;783,1788
"ordem_2b";25;5;6;4;6;0;2;1;1;50;25;13;15;4;783,1788
"ordem_3b";25;5;6;4;6;0;2;1;1;50;25;13;15;4;783,1788
"ordem_4b";25;5;6;4;6;0;2;1;1;50;25;13;15;4;783,1788
"ordem_5b";25;5;6;4;6;0;2;1;1;50;25;13;15;4;783,1788
"ordem_6b";25;5;6;4;6;0;2;1;1;50;25;13;15;4;783,1788
"ordem_7b";25;5;6;4;6;0;2;1;1;50;25;13;15;4;783,1788
"ordem_8b";25;5;6;4;6;0;2;1;1;50;25;13;15;4;783,1788
"ordem_9b";25;5;6;4;6;0;2;1;1;50;25;13;15;4;783,1788
"ordem_10b";25;5;6;4;6;0;2;1;1;50;25;13;15;4;783,1788
"ordem_11b";25;5;6;4;6;0;2;1;1;50;25;13;15;4;783,1788
"ordem_12b";25;5;6;4;6;0;2;1;1;50;25;13;15;4;783,1788
"sisu_atual";25;5;6;4;6;1;1;1;1;50;25;13;14;4;782,8584
