"";"A0";"L01";"L02";"L05";"L06";"L09";"L10";"L13";"L14";"tot";"pub";"bxa";"ppi";"pcd";"nota"
"ordem_1a";24;6;18;4;4;1;2;0;1;60;36;27;25;4;621,354
"ordem_2a";24;6;18;4;4;1;2;0;1;60;36;27;25;4;621,354
"ordem_3a";24;7;19;4;2;2;2;0;0;60;36;30;23;4;620,453666666667
"ordem_4a";24;6;18;4;4;1;2;0;1;60;36;27;25;4;621,354
"ordem_5a";24;7;19;4;2;2;2;0;0;60;36;30;23;4;620,453666666667
"ordem_6a";24;7;19;4;2;2;2;0;0;60;36;30;23;4;620,453666666667
"ordem_7a";24;6;18;4;4;1;2;0;1;60;36;27;25;4;621,354
"ordem_8a";24;6;18;4;4;1;2;0;1;60;36;27;25;4;621,354
"ordem_9a";24;7;19;4;2;2;2;0;0;60;36;30;23;4;620,453666666667
"ordem_10a";24;6;18;4;4;1;2;0;1;60;36;27;25;4;621,354
"ordem_11a";24;7;19;4;2;2;2;0;0;60;36;30;23;4;620,453666666667
"ordem_12a";24;7;19;4;2;2;2;0;0;60;36;30;23;4;620,453666666667
"ordem_1b";30;5;11;5;5;1;1;1;1;60;30;18;18;4;629,905666666667
"ordem_2b";30;5;11;5;5;1;1;1;1;60;30;18;18;4;629,905666666667
"ordem_3b";30;5;11;5;5;1;1;1;1;60;30;18;18;4;629,905666666667
"ordem_4b";30;5;11;5;5;1;1;1;1;60;30;18;18;4;629,905666666667
"ordem_5b";30;5;11;5;5;1;1;1;1;60;30;18;18;4;629,905666666667
"ordem_6b";30;5;11;5;5;1;1;1;1;60;30;18;18;4;629,905666666667
"ordem_7b";30;5;11;5;5;1;1;1;1;60;30;18;18;4;629,905666666667
"ordem_8b";30;5;11;5;5;1;1;1;1;60;30;18;18;4;629,905666666667
"ordem_9b";30;5;11;5;5;1;1;1;1;60;30;18;18;4;629,905666666667
"ordem_10b";30;5;11;5;5;1;1;1;1;60;30;18;18;4;629,905666666667
"ordem_11b";30;5;11;5;5;1;1;1;1;60;30;18;18;4;629,905666666667
"ordem_12b";30;5;11;5;5;1;1;1;1;60;30;18;18;4;629,905666666667
"sisu_atual";30;5;8;5;8;1;1;1;1;60;30;15;18;4;629,602
