"id","Processo_Seletivo","nota","Modalidade_Inscrita","Numero_Chamada_Convocacao","Modalidade_Convocada","Codigo_Modalidade_Inscrita","Codigo_Modalidade_Convocada","Curso","mod_ins","mod_con","pub","bxa","ppi","pcd"
27,"SISU2019",821.44,9,1,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
94,"SISU2019",807.92,9,1,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
169,"SISU2019",805.04,9,1,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
231,"SISU2019",804.76,9,1,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
295,"SISU2019",804.1,9,1,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
369,"SISU2019",803.04,9,1,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
436,"SISU2019",802.58,9,1,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
503,"SISU2019",802.38,9,1,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
564,"SISU2019",802.06,9,1,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
630,"SISU2019",801.8,9,1,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
694,"SISU2019",801.48,9,1,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
760,"SISU2019",801.48,9,1,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
826,"SISU2019",801.28,9,1,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
881,"SISU2019",801.26,9,1,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
940,"SISU2019",801.06,9,1,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
1003,"SISU2019",800.62,9,1,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
1058,"SISU2019",800.54,9,1,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
1117,"SISU2019",800.48,9,1,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
1167,"SISU2019",800.46,9,1,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
1229,"SISU2019",800.42,9,1,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
1273,"SISU2019",800.34,9,1,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
1311,"SISU2019",800.32,9,1,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
1345,"SISU2019",800.04,9,1,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
1380,"SISU2019",799.88,9,1,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
1413,"SISU2019",799.56,9,1,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
1629,"SISU2019",763.06,1,1,1,"Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","MEDICINA","L02","L02",TRUE,TRUE,TRUE,FALSE
1697,"SISU2019",761.58,1,1,1,"Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","MEDICINA","L02","L02",TRUE,TRUE,TRUE,FALSE
1761,"SISU2019",754.36,1,1,1,"Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","MEDICINA","L02","L02",TRUE,TRUE,TRUE,FALSE
1824,"SISU2019",753.3,1,1,1,"Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","MEDICINA","L02","L02",TRUE,TRUE,TRUE,FALSE
1877,"SISU2019",752.22,1,1,1,"Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","MEDICINA","L02","L02",TRUE,TRUE,TRUE,FALSE
1926,"SISU2019",751.2,1,1,1,"Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","MEDICINA","L02","L02",TRUE,TRUE,TRUE,FALSE
2033,"SISU2019",787.78,5,1,5,"Candidatos autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","Candidatos autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","MEDICINA","L06","L06",TRUE,FALSE,TRUE,FALSE
2103,"SISU2019",767.34,5,1,5,"Candidatos autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","Candidatos autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","MEDICINA","L06","L06",TRUE,FALSE,TRUE,FALSE
2166,"SISU2019",766.9,5,1,5,"Candidatos autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","Candidatos autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","MEDICINA","L06","L06",TRUE,FALSE,TRUE,FALSE
2228,"SISU2019",763.7,5,1,5,"Candidatos autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","Candidatos autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","MEDICINA","L06","L06",TRUE,FALSE,TRUE,FALSE
